"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"California"	"06"	"2008"	"2008"	"Mar., 2008"	"2008/03"	151	Not Applicable	Not Applicable
	"California"	"06"	"2008"	"2008"	"Apr., 2008"	"2008/04"	128	Not Applicable	Not Applicable
	"California"	"06"	"2008"	"2008"	"May, 2008"	"2008/05"	134	Not Applicable	Not Applicable
	"California"	"06"	"2008"	"2008"	"Jun., 2008"	"2008/06"	133	Not Applicable	Not Applicable
	"California"	"06"	"2008"	"2008"	"Jul., 2008"	"2008/07"	110	Not Applicable	Not Applicable
	"California"	"06"	"2008"	"2008"	"Aug., 2008"	"2008/08"	138	Not Applicable	Not Applicable
	"California"	"06"	"2008"	"2008"	"Sep., 2008"	"2008/09"	140	Not Applicable	Not Applicable
	"California"	"06"	"2008"	"2008"	"Oct., 2008"	"2008/10"	128	Not Applicable	Not Applicable
	"California"	"06"	"2008"	"2008"	"Nov., 2008"	"2008/11"	128	Not Applicable	Not Applicable
	"California"	"06"	"2008"	"2008"	"Dec., 2008"	"2008/12"	115	Not Applicable	Not Applicable
	"California"	"06"	"2009"	"2009"	"Jan., 2009"	"2009/01"	138	Not Applicable	Not Applicable
	"California"	"06"	"2009"	"2009"	"Feb., 2009"	"2009/02"	93	Not Applicable	Not Applicable
	"California"	"06"	"2009"	"2009"	"Mar., 2009"	"2009/03"	128	Not Applicable	Not Applicable
	"California"	"06"	"2009"	"2009"	"Apr., 2009"	"2009/04"	123	Not Applicable	Not Applicable
	"California"	"06"	"2009"	"2009"	"May, 2009"	"2009/05"	130	Not Applicable	Not Applicable
	"California"	"06"	"2009"	"2009"	"Jun., 2009"	"2009/06"	108	Not Applicable	Not Applicable
	"California"	"06"	"2009"	"2009"	"Jul., 2009"	"2009/07"	150	Not Applicable	Not Applicable
	"California"	"06"	"2009"	"2009"	"Aug., 2009"	"2009/08"	144	Not Applicable	Not Applicable
	"California"	"06"	"2009"	"2009"	"Sep., 2009"	"2009/09"	115	Not Applicable	Not Applicable
	"California"	"06"	"2009"	"2009"	"Oct., 2009"	"2009/10"	98	Not Applicable	Not Applicable
	"California"	"06"	"2009"	"2009"	"Nov., 2009"	"2009/11"	109	Not Applicable	Not Applicable
	"California"	"06"	"2009"	"2009"	"Dec., 2009"	"2009/12"	124	Not Applicable	Not Applicable
	"California"	"06"	"2010"	"2010"	"Jan., 2010"	"2010/01"	116	Not Applicable	Not Applicable
	"California"	"06"	"2010"	"2010"	"Feb., 2010"	"2010/02"	75	Not Applicable	Not Applicable
	"California"	"06"	"2010"	"2010"	"Mar., 2010"	"2010/03"	128	Not Applicable	Not Applicable
	"California"	"06"	"2010"	"2010"	"Apr., 2010"	"2010/04"	123	Not Applicable	Not Applicable
	"California"	"06"	"2010"	"2010"	"May, 2010"	"2010/05"	144	Not Applicable	Not Applicable
	"California"	"06"	"2010"	"2010"	"Jun., 2010"	"2010/06"	102	Not Applicable	Not Applicable
	"California"	"06"	"2010"	"2010"	"Jul., 2010"	"2010/07"	108	Not Applicable	Not Applicable
	"California"	"06"	"2010"	"2010"	"Aug., 2010"	"2010/08"	117	Not Applicable	Not Applicable
	"California"	"06"	"2010"	"2010"	"Sep., 2010"	"2010/09"	92	Not Applicable	Not Applicable
	"California"	"06"	"2010"	"2010"	"Oct., 2010"	"2010/10"	102	Not Applicable	Not Applicable
	"California"	"06"	"2010"	"2010"	"Nov., 2010"	"2010/11"	108	Not Applicable	Not Applicable
	"California"	"06"	"2010"	"2010"	"Dec., 2010"	"2010/12"	127	Not Applicable	Not Applicable
	"California"	"06"	"2011"	"2011"	"Jan., 2011"	"2011/01"	114	Not Applicable	Not Applicable
	"California"	"06"	"2011"	"2011"	"Feb., 2011"	"2011/02"	82	Not Applicable	Not Applicable
	"California"	"06"	"2011"	"2011"	"Mar., 2011"	"2011/03"	92	Not Applicable	Not Applicable
	"California"	"06"	"2011"	"2011"	"Apr., 2011"	"2011/04"	104	Not Applicable	Not Applicable
	"California"	"06"	"2011"	"2011"	"May, 2011"	"2011/05"	136	Not Applicable	Not Applicable
	"California"	"06"	"2011"	"2011"	"Jun., 2011"	"2011/06"	103	Not Applicable	Not Applicable
	"California"	"06"	"2011"	"2011"	"Jul., 2011"	"2011/07"	130	Not Applicable	Not Applicable
	"California"	"06"	"2011"	"2011"	"Aug., 2011"	"2011/08"	115	Not Applicable	Not Applicable
	"California"	"06"	"2011"	"2011"	"Sep., 2011"	"2011/09"	101	Not Applicable	Not Applicable
	"California"	"06"	"2011"	"2011"	"Oct., 2011"	"2011/10"	127	Not Applicable	Not Applicable
	"California"	"06"	"2011"	"2011"	"Nov., 2011"	"2011/11"	105	Not Applicable	Not Applicable
	"California"	"06"	"2011"	"2011"	"Dec., 2011"	"2011/12"	105	Not Applicable	Not Applicable
	"California"	"06"	"2012"	"2012"	"Jan., 2012"	"2012/01"	103	Not Applicable	Not Applicable
	"California"	"06"	"2012"	"2012"	"Feb., 2012"	"2012/02"	88	Not Applicable	Not Applicable
	"California"	"06"	"2012"	"2012"	"Mar., 2012"	"2012/03"	112	Not Applicable	Not Applicable
	"California"	"06"	"2012"	"2012"	"Apr., 2012"	"2012/04"	118	Not Applicable	Not Applicable
	"California"	"06"	"2012"	"2012"	"May, 2012"	"2012/05"	107	Not Applicable	Not Applicable
	"California"	"06"	"2012"	"2012"	"Jun., 2012"	"2012/06"	136	Not Applicable	Not Applicable
	"California"	"06"	"2012"	"2012"	"Jul., 2012"	"2012/07"	111	Not Applicable	Not Applicable
	"California"	"06"	"2012"	"2012"	"Aug., 2012"	"2012/08"	132	Not Applicable	Not Applicable
	"California"	"06"	"2012"	"2012"	"Sep., 2012"	"2012/09"	117	Not Applicable	Not Applicable
	"California"	"06"	"2012"	"2012"	"Oct., 2012"	"2012/10"	130	Not Applicable	Not Applicable
	"California"	"06"	"2012"	"2012"	"Nov., 2012"	"2012/11"	106	Not Applicable	Not Applicable
	"California"	"06"	"2012"	"2012"	"Dec., 2012"	"2012/12"	102	Not Applicable	Not Applicable
	"California"	"06"	"2013"	"2013"	"Jan., 2013"	"2013/01"	108	Not Applicable	Not Applicable
	"California"	"06"	"2013"	"2013"	"Feb., 2013"	"2013/02"	92	Not Applicable	Not Applicable
	"California"	"06"	"2013"	"2013"	"Mar., 2013"	"2013/03"	128	Not Applicable	Not Applicable
